,Dataset,Mixture Label,CID,CID.1,CID.2,CID.3,CID.4,CID.5,CID.6,CID.7,CID.8,CID.9
153930,in-silico,153931,62465,10882,2758,454,8103,10890,1140,8858,957,6654
119918,in-silico,119919,261,6184,62444,1068,5281168,7921,5283349,8186,8635,8797
105994,in-silico,105995,10976,62433,6561,2758,10890,18827,12367,5281168,3314,24915
159592,in-silico,159593,7714,10882,261,1031,7710,9609,7344,180,7991,10430
81956,in-silico,81957,31265,5281515,31276,14286,7762,12178,11509,7799,26331,6654
75830,in-silico,75831,12741,6054,31244,12367,7793,8148,15380,443158,10430,7710
77036,in-silico,77037,5634,326,93009,61138,7762,12180,1140,61016,22873,7770
36076,in-silico,36077,8129,31265,7654,6054,12232,31272,8051,8118,7799,7165
43222,in-silico,43223,440967,8103,5281515,7888,8051,1140,8025,22873,7770,6654
82802,in-silico,82803,7749,6569,7150,240,7410,15380,8148,180,8635,7966
