,Mixture Label,CID,CID.1,CID.2,CID.3,CID.4,CID.5,CID.6,CID.7,CID.8,CID.9,CID.10
0,A_1,62465,10882,2758,454,8103,10890,1140,8858,957,6654.0,
1,A_2,261,6184,62444,1068,5281168,7921,5283349,8186,8635,8797.0,
2,A_3,10976,62433,6561,2758,10890,18827,12367,5281168,3314,24915.0,
3,A_4,7714,10882,261,1031,7710,9609,7344,180,7991,10430.0,
4,A_5,31265,5281515,31276,14286,7762,12178,11509,7799,26331,6654.0,
5,A_6,12741,6054,31244,12367,7793,8148,15380,443158,10430,7710.0,
6,A_7,5634,326,93009,61138,7762,12180,1140,61016,22873,7770.0,
7,A_8,8129,31265,7654,6054,12232,31272,8051,8118,7799,7165.0,
8,A_9,440967,8103,5281515,7888,8051,1140,8025,22873,7770,6654.0,
9,A_10,7749,6569,7150,240,7410,15380,8148,180,8635,7966.0,
0,B_1,440967,8129,180,5281515,22873,7460,22386,6544,8130,1031.0,3314.0
1,B_2,7460,7793,7921,8130,62433,8051,12178,6054,8129,,
2,B_3,8051,12741,22873,12178,8797,24915,4133,6054,7731,7921.0,5634.0
3,B_4,11002,4133,62433,7654,31265,1031,62336,5283349,5634,,
4,B_5,6590,31252,4133,8892,14286,12020,62433,12180,9609,7793.0,7921.0
5,B_6,61138,6501,9609,7410,7344,62336,6590,8797,11002,7714.0,31252.0
6,B_7,61138,6501,9609,7410,7344,62336,6590,8797,11002,7714.0,10722.0
7,B_8,8130,61138,454,7762,15380,61016,7344,4133,12741,6561.0,
8,B_9,454,5634,8091,22386,31252,22873,7344,11509,6590,1140.0,
9,B_10,8051,12178,8025,7749,12180,7770,10890,22386,31252,,
10,B_11,443158,26331,14286,62336,31272,6569,180,7888,8858,31252.0,
11,B_12,62465,6501,7654,22386,1031,10722,180,12741,7888,26331.0,
12,B_13,4133,7966,6544,62465,7654,62433,1140,7344,6654,,
13,B_14,22873,8129,8051,7460,7762,62336,12178,12741,8858,,
14,B_15,957,8091,22386,7770,12178,12020,10821,31276,31265,5634.0,
15,B_16,440967,7460,326,6654,6501,7654,9609,7344,7991,,
16,B_17,6569,7991,15380,19310,9609,8858,7654,7710,5281515,,
17,B_18,62465,7921,12232,61138,26331,7344,7966,7888,62336,,
18,B_19,10722,14286,8797,7344,1140,5634,1031,11002,7165,,
19,B_20,6590,11509,8892,7921,7762,12367,6569,62444,650,7799.0,
20,B_21,7762,12020,31276,22201,6184,8025,7966,18827,8148,,
21,B_22,18827,31252,12741,8030,5283349,6501,26331,10976,8118,15380.0,
22,B_23,454,8858,8129,14286,12367,8186,7966,11002,957,,
23,B_24,7888,8635,61016,8030,7921,957,7793,14286,7966,,
24,B_25,6054,7460,6544,31244,440967,443158,8635,6184,4133,6561.0,18827.0
25,B_26,6054,7460,7731,62336,4133,5281515,10821,24915,8858,957.0,
26,B_27,10882,8858,8091,31272,31252,440967,22873,6569,10890,,
27,B_28,7749,18827,8051,8858,31252,8103,8892,261,7921,,
28,B_29,6561,9609,12232,7966,7714,24915,8129,6501,19310,,
29,B_30,2758,12741,93009,12367,8130,957,5283349,7921,454,7966.0,
30,B_31,6054,8858,62336,7921,12367,61138,443158,7888,15380,7654.0,
31,B_32,8797,6054,3314,5634,10821,7344,12367,4133,9609,7793.0,7410.0
32,B_33,957,7888,7714,18827,61016,62444,8797,8129,5634,,
33,B_34,454,18827,10976,7654,8129,9609,7921,62336,8892,440967.0,
34,B_35,8103,8118,11002,31265,440967,5281515,5281168,6184,62433,,
35,B_36,12020,6654,22386,19310,12178,8635,10890,2758,6501,31276.0,440967.0
36,B_37,180,326,6544,7991,7344,6561,261,7749,62336,7966.0,7654.0
37,B_38,180,4133,31252,8025,6544,3314,7762,326,7344,8797.0,261.0
38,B_39,10890,8130,62433,440967,7749,6184,24915,31265,454,10882.0,
39,B_40,7749,8103,957,62444,7150,8025,7654,7991,11552,7714.0,
40,B_41,6501,7344,7714,6569,7991,8892,8635,11002,6544,1068.0,62444.0
41,B_42,19310,5281515,8635,6544,11002,8118,9609,1031,6054,7460.0,
42,B_43,22201,26331,6544,7165,7150,8118,440967,15380,8635,,
43,B_44,14286,62465,7731,9609,7410,7793,31252,7921,15380,8635.0,12367.0
44,B_45,14286,62465,7731,9609,7410,12367,7966,3314,11002,7344.0,7150.0
45,B_46,22873,7762,62336,10890,10976,62444,24915,1140,8091,,
46,B_47,7749,12178,62444,7150,7714,12020,6654,18827,12367,,
47,B_48,10430,8635,7710,15380,1031,7714,7150,93009,7344,12741.0,
48,B_49,61138,240,5634,7150,93009,19310,6569,15380,180,7991.0,8635.0
49,B_50,8858,6654,5281515,31244,19310,2758,1140,240,12741,7710.0,
50,B_51,62465,14286,5281515,7966,61138,7921,957,10821,4133,,
51,B_52,62465,14286,5281515,7966,61138,4133,454,7921,6561,,
52,B_53,93009,10976,7762,7460,8129,7749,2758,8091,326,,
53,B_54,2758,11552,8186,7799,31276,7165,8130,62465,12178,,
54,B_55,6054,18827,62336,7654,8858,11552,5634,4133,180,,
55,B_56,7714,6561,1031,6501,7150,11552,8635,5634,4133,18827.0,
56,B_57,31252,22201,5634,12020,26331,1031,15380,9609,6054,62444.0,
57,B_58,61138,10722,31252,7714,8797,9609,7165,7344,14286,7793.0,
58,B_59,61138,10722,31252,7714,8797,9609,7654,7344,14286,,
59,B_60,1031,10722,261,8797,11509,1140,12178,4133,6590,,
60,B_61,1031,14286,10882,10821,7519,12020,10430,8858,7762,,
61,B_62,26331,14286,7921,1068,9609,12020,6501,62433,10890,,
62,B_63,6501,31265,8103,7654,10821,12232,8892,6184,7921,,
63,B_64,7888,11002,3314,8892,6184,326,8051,10890,7921,7710.0,18827.0
64,B_65,7793,5283349,7460,8091,7921,62336,5634,6544,18827,3314.0,11002.0
65,B_66,7793,5283349,7460,8091,7921,62336,5634,6544,18827,24915.0,3314.0
