Dataset,Mixture Label,CID_1,CID_2,CID_3,CID_4,CID_5,CID_6,CID_7,CID_8,CID_9,CID_10,CID_11,CID_12,CID_13,CID_14,CID_15,CID_16,CID_17,CID_18,CID_19,CID_20,CID_21,CID_22,CID_23,CID_24,CID_25,CID_26,CID_27,CID_28,CID_29,CID_30,CID_31,CID_32,CID_33,CID_34,CID_35,CID_36,CID_37,CID_38,CID_39,CID_40,CID_41,CID_42,CID_43,CID_44
Snitz 1,1,6501,264.0,2879.0,7685.0,7731.0,326.0,7888.0,61138.0,8030.0,1183.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snitz 1,2,240,93009.0,323.0,8148.0,7762.0,3314.0,460.0,6184.0,798.0,6054.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snitz 1,3,7710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snitz 1,4,31276,93009.0,11002.0,323.0,7966.0,8148.0,7632.0,22201.0,19310.0,7762.0,2758.0,3314.0,460.0,443158.0,20859.0,7059.0,999.0,6544.0,7770.0,10430.0,,,,,,,,,,,,,,,,,,,,,,,,
Snitz 1,5,10890,93009.0,11002.0,6982.0,323.0,8797.0,7966.0,8148.0,7632.0,31252.0,19310.0,7762.0,3314.0,460.0,6184.0,8892.0,8103.0,12178.0,5281168.0,798.0,443158.0,20859.0,7059.0,91497.0,999.0,10821.0,6544.0,7770.0,7714.0,10430.0,,,,,,,,,,,,,,
Snitz 1,6,7710,31276.0,10890.0,240.0,93009.0,11002.0,6982.0,323.0,8797.0,7966.0,8148.0,24915.0,7632.0,22201.0,31252.0,19310.0,7762.0,26331.0,2758.0,3314.0,460.0,8130.0,6184.0,8892.0,8103.0,12178.0,5281168.0,798.0,443158.0,20859.0,7059.0,62444.0,91497.0,999.0,10821.0,6054.0,6544.0,7770.0,7714.0,10430.0,,,,
Snitz 1,7,93009,460.0,443158.0,6544.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snitz 1,8,5283349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snitz 1,9,7410,6501.0,264.0,5281515.0,6259976.0,307.0,7685.0,326.0,5283349.0,7749.0,7363.0,7888.0,7119.0,8635.0,8918.0,6736.0,8030.0,5634.0,7921.0,1183.0,,,,,,,,,,,,,,,,,,,,,,,,
Snitz 1,10,7410,6501.0,7600.0,7519.0,264.0,5281515.0,6259976.0,307.0,2879.0,7685.0,7731.0,326.0,5283349.0,7583.0,7749.0,7363.0,8129.0,7888.0,61016.0,8635.0,8918.0,957.0,7991.0,61138.0,6654.0,8118.0,6736.0,10722.0,1140.0,1183.0,,,,,,,,,,,,,,
